Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
"Afghanistan","ASIA (EX. NEAR EAST)",31056997,647500,"48.0","0.00","23.06","163.07",700,"36.0","3.2","12.13","0.22","87.65",1,"46.6","20.34","0.38","0.24","0.38"
"Albania","EASTERN EUROPE",3581655,28748,"124.6","1.26","-4.93","21.52",4500,"86.5","71.2","21.09","4.42","74.49",3,"15.11","5.22","0.232","0.188","0.579"
"Algeria","NORTHERN AFRICA",32930091,2381740,"13.8","0.04","-0.39",31,6000,"70.0","78.1","3.22","0.25","96.53",1,"17.14","4.61","0.101","0.6","0.298"
"American Samoa","OCEANIA",57794,199,"290.4","58.29","-20.71","9.27",8000,"97.0","259.5",10,15,75,2,"22.46","3.27",,,
"Andorra","WESTERN EUROPE",71201,468,"152.1","0.00","6.6","4.05",19000,"100.0","497.2","2.22",0,"97.78",3,"8.71","6.25",,,
"Angola","SUB-SAHARAN AFRICA",12127071,1246700,"9.7","0.13",0,"191.19",1900,"42.0","7.8","2.41","0.24","97.35",,"45.11","24.2","0.096","0.658","0.246"
"Anguilla","LATIN AMER. & CARIB",13477,102,"132.1","59.80","10.76","21.03",8600,"95.0","460.0",0,0,100,2,"14.17","5.34","0.04","0.18","0.78"
"Antigua & Barbuda","LATIN AMER. & CARIB",69108,443,"156.0","34.54","-6.15","19.46",11000,"89.0","549.9","18.18","4.55","77.27",2,"16.93","5.37","0.038","0.22","0.743"
"Argentina","LATIN AMER. & CARIB",39921833,2766890,"14.4","0.18","0.61","15.18",11200,"97.1","220.4","12.31","0.48","87.21",3,"16.73","7.55","0.095","0.358","0.547"
"Armenia","C.W. OF IND. STATES",2976372,29800,"99.9","0.00","-6.47","23.28",3500,"98.6","195.7","17.55","2.3","80.15",4,"12.07","8.23","0.239","0.343","0.418"
"Aruba","LATIN AMER. & CARIB",71891,193,"372.5","35.49",0,"5.89",28000,"97.0","516.1","10.53",0,"89.47",2,"11.03","6.68","0.004","0.333","0.663"
"Australia","OCEANIA",20264082,7686850,"2.6","0.34","3.98","4.69",29000,"100.0","565.5","6.55","0.04","93.41",1,"12.14","7.51","0.038","0.262","0.7"
"Austria","WESTERN EUROPE",8192880,83870,"97.7","0.00",2,"4.66",30000,"98.0","452.2","16.91","0.86","82.23",3,"8.74","9.76","0.018","0.304","0.678"
"Azerbaijan","C.W. OF IND. STATES",7961619,86600,"91.9","0.00","-4.9","81.74",3400,"97.0","137.1","19.63","2.71","77.66",1,"20.74","9.75","0.141","0.457","0.402"
"Bahamas, The","LATIN AMER. & CARIB",303770,13940,"21.8","25.41","-2.2","25.21",16700,"95.6","460.6","0.8","0.4","98.8",2,"17.57","9.05","0.03","0.07","0.9"
"Bahrain","NEAR EAST",698585,665,"1050.5","24.21","1.05","17.27",16900,"89.1","281.3","2.82","5.63","91.55",1,"17.8","4.14","0.005","0.387","0.608"
"Bangladesh","ASIA (EX. NEAR EAST)",147365352,144000,"1023.4","0.40","-0.71","62.6",1900,"43.1","7.3","62.11","3.07","34.82",2,"29.8","8.27","0.199","0.198","0.603"
"Barbados","LATIN AMER. & CARIB",279912,431,"649.5","22.51","-0.31","12.5",15700,"97.4","481.9","37.21","2.33","60.46",2,"12.71","8.67","0.06","0.16","0.78"
"Belarus","C.W. OF IND. STATES",10293011,207600,"49.6","0.00","2.54","13.37",6100,"99.6","319.1","29.55","0.6","69.85",4,"11.16","14.02","0.093","0.316","0.591"
"Belgium","WESTERN EUROPE",10379067,30528,"340.0","0.22","1.23","4.68",29100,"98.0","462.6","23.28","0.4","76.32",3,"10.38","10.27","0.01","0.24","0.749"
"Belize","LATIN AMER. & CARIB",287730,22966,"12.5","1.68",0,"25.69",4900,"94.1","115.7","2.85","1.71","95.44",2,"28.84","5.72","0.142","0.152","0.612"
"Benin","SUB-SAHARAN AFRICA",7862944,112620,"69.8","0.11",0,85,1100,"40.9","9.7","18.08","2.4","79.52",2,"38.85","12.22","0.316","0.138","0.546"
"Bermuda","NORTHERN AMERICA",65773,53,"1241.0","194.34","2.49","8.53",36000,"98.0","851.4",20,0,80,2,"11.4","7.74","0.01","0.1","0.89"
"Bhutan","ASIA (EX. NEAR EAST)",2279723,47000,"48.5","0.00",0,"100.44",1300,"42.2","14.3","3.09","0.43","96.48",2,"33.65","12.7","0.258","0.379","0.363"
"Bolivia","LATIN AMER. & CARIB",8989046,1098580,"8.2","0.00","-1.32","53.11",2400,"87.2","71.9","2.67","0.19","97.14","1.5","23.3","7.53","0.128","0.352","0.52"
"Bosnia & Herzegovina","EASTERN EUROPE",4498976,51129,"88.0","0.04","0.31","21.05",6100,,"215.4","13.6","2.96","83.44",4,"8.77","8.27","0.142","0.308","0.55"
"Botswana","SUB-SAHARAN AFRICA",1639833,600370,"2.7","0.00",0,"54.58",9000,"79.8","80.5","0.65","0.01","99.34",1,"23.08","29.5","0.024","0.469","0.507"
"Brazil","LATIN AMER. & CARIB",188078227,8511965,"22.1","0.09","-0.03","29.61",7600,"86.4","225.3","6.96","0.9","92.15",2,"16.56","6.17","0.084","0.4","0.516"
"British Virgin Is.","LATIN AMER. & CARIB",23098,153,"151.0","52.29","10.01","18.05",16000,"97.8","506.5",20,"6.67","73.33",2,"14.89","4.42","0.018","0.062","0.92"
"Brunei","ASIA (EX. NEAR EAST)",379444,5770,"65.8","2.79","3.59","12.61",18600,"93.9","237.2","0.57","0.76","98.67",2,"18.79","3.45","0.036","0.561","0.403"
"Bulgaria","EASTERN EUROPE",7385367,110910,"66.6","0.32","-4.58","20.55",7600,"98.6","336.3","40.02","1.92","58.06",3,"9.65","14.27","0.093","0.304","0.603"
"Burkina Faso","SUB-SAHARAN AFRICA",13902972,274200,"50.7","0.00",0,"97.57",1100,"26.6","7.0","14.43","0.19","85.38",2,"45.62","15.6","0.322","0.196","0.482"
"Burma","ASIA (EX. NEAR EAST)",47382633,678500,"69.8","0.28","-1.8","67.24",1800,"85.3","10.1","15.19","0.97","83.84",2,"17.91","9.83","0.564","0.082","0.353"
"Burundi","SUB-SAHARAN AFRICA",8090068,27830,"290.7","0.00","-0.06","69.29",600,"51.6","3.4","35.05","14.02","50.93",2,"42.22","13.46","0.463","0.203","0.334"
"Cambodia","ASIA (EX. NEAR EAST)",13881427,181040,"76.7","0.24",0,"71.48",1900,"69.4","2.6","20.96","0.61","78.43",2,"26.9","9.06","0.35","0.3","0.35"
"Cameroon","SUB-SAHARAN AFRICA",17340702,475440,"36.5","0.08",0,"68.26",1800,"79.0","5.7","12.81","2.58","84.61","1.5","33.89","13.47","0.448","0.17","0.382"
"Canada","NORTHERN AMERICA",33098932,9984670,"3.3","2.02","5.96","4.75",29800,"97.0","552.2","4.96","0.02","95.02",,"10.78","7.8","0.022","0.294","0.684"
"Cape Verde","SUB-SAHARAN AFRICA",420979,4033,"104.4","23.93","-12.07","47.77",1400,"76.6","169.6","9.68","0.5","89.82",3,"24.87","6.55","0.121","0.219","0.66"
"Cayman Islands","LATIN AMER. & CARIB",45436,262,"173.4","61.07","18.75","8.19",35000,"98.0","836.3","3.85",0,"96.15",2,"12.74","4.89","0.014","0.032","0.954"
"Central African Rep.","SUB-SAHARAN AFRICA",4303356,622984,"6.9","0.00",0,91,1100,"51.0","2.3","3.1","0.14","96.76",2,"33.91","18.65","0.55","0.2","0.25"
