Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Iran ,ASIA (EX. NEAR EAST)         ,68688433,1648000,41.7,0.15,-0.84,41.58,7000,79.4,276.4,8.72,1.39,89.89,1,17,5.55,0.116,0.424,0.46
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,125.7,0.63,0,20.48,7400,92.6,108.9,29.36,6.46,64.18,2,13.87,7.04,0.099,0.441,0.46
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA                 ,62660551,2345410,26.7,0,0,94.69,700,65.5,0.2,2.96,0.52,96.52,2,43.69,13.27,0.55,0.11,0.34
France ,WESTERN EUROPE                     ,60876136,547030,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
United Kingdom ,WESTERN EUROPE                     ,60609153,244820,247.6,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758
Italy ,WESTERN EUROPE                     ,58133509,301230,193,2.52,2.07,5.94,26700,98.6,430.9,27.79,9.53,62.68,,8.72,10.4,0.021,0.291,0.688
"Korea, South ",ASIA (EX. NEAR EAST)         ,48846823,98480,496,2.45,0,7.05,17800,97.9,486.1,17.18,1.95,80.87,3,10,5.85,0.033,0.403,0.563
Burma ,ASIA (EX. NEAR EAST)         ,47382633,678500,69.8,0.28,-1.8,67.24,1800,85.3,10.1,15.19,0.97,83.84,2,17.91,9.83,0.564,0.082,0.353
Ukraine ,C.W. OF IND. STATES ,46710816,603700,77.4,0.46,-0.39,20.34,5400,99.7,259.9,56.21,1.61,42.18,3,8.82,14.39,0.187,0.452,0.361
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,1219912,36.2,0.23,-0.29,61.81,10700,86.4,107,12.08,0.79,87.13,1,18.2,22,0.025,0.303,0.671
Colombia ,LATIN AMER. & CARIB    ,43593035,1138910,38.3,0.28,-0.31,20.97,6300,92.5,176.2,2.42,1.67,95.91,2,20.48,5.58,0.125,0.342,0.533
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,2505810,16.5,0.03,-0.02,62.5,1900,61.1,16.3,6.83,0.18,92.99,2,34.53,8.97,0.387,0.203,0.41
Spain ,WESTERN EUROPE                     ,40397842,504782,80,0.98,0.99,4.42,22000,97.9,453.5,26.07,9.87,64.06,3,10.06,9.72,0.04,0.295,0.665
Argentina ,LATIN AMER. & CARIB    ,39921833,2766890,14.4,0.18,0.61,15.18,11200,97.1,220.4,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547
Poland ,EASTERN EUROPE                     ,38536869,312685,123.3,0.16,-0.49,8.51,11100,99.8,306.3,45.91,1.12,52.97,3,9.85,9.89,0.05,0.311,0.64
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087,39.6,0.15,-2.06,98.54,600,78.2,4,4.52,1.08,94.4,,37.71,16.39,0.432,0.172,0.396
Kenya ,SUB-SAHARAN AFRICA                 ,34707817,582650,59.6,0.09,-0.1,61.47,1000,85.1,8.1,8.08,0.98,90.94,1.5,39.72,14.02,0.163,0.188,0.651
Morocco ,NORTHERN AFRICA                    ,33241259,446550,74.4,0.41,-0.98,41.62,4000,51.7,40.4,19.61,2.17,78.22,,21.98,5.58,0.217,0.357,0.426
Canada ,NORTHERN AMERICA                   ,33098932,9984670,3.3,2.02,5.96,4.75,29800,97,552.2,4.96,0.02,95.02,,10.78,7.8,0.022,0.294,0.684
Algeria ,NORTHERN AFRICA                    ,32930091,2381740,13.8,0.04,-0.39,31,6000,70,78.1,3.22,0.25,96.53,1,17.14,4.61,0.101,0.6,0.298
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,647500,48,0,23.06,163.07,700,36,3.2,12.13,0.22,87.65,1,46.6,20.34,0.38,0.24,0.38
Peru ,LATIN AMER. & CARIB    ,28302603,1285220,22,0.19,-1.05,31.94,5100,90.9,79.5,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,147181,192.2,0,0,66.98,1400,45.2,15.9,21.68,0.64,77.68,,30.98,9.31,0.38,0.21,0.41
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,236040,119.5,0,0,67.83,1400,69.9,3.6,25.88,10.65,63.47,2,47.35,12.24,0.311,0.222,0.469
Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,61,0,-1.72,71.1,1700,99.3,62.9,10.83,0.83,88.34,1,26.36,7.84,0.342,0.229,0.43
Saudi Arabia ,NEAR EAST                          ,27019731,1960582,13.8,0.13,-2.71,13.24,11800,78.8,140.6,1.67,0.09,98.24,1,29.34,2.58,0.033,0.613,0.354
Iraq ,NEAR EAST                          ,26783383,437072,61.3,0.01,0,50.25,1500,40.4,38.6,13.15,0.78,86.07,1,31.98,5.37,0.073,0.666,0.261
Venezuela ,LATIN AMER. & CARIB    ,25730435,912050,28.2,0.31,-0.04,22.2,4800,93.4,140.1,2.95,0.92,96.13,2,18.71,4.92,0.04,0.419,0.541
Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,329750,74,1.42,0,17.7,9000,88.7,179,5.48,17.61,76.91,2,22.86,5.05,0.084,0.48,0.436
"Korea, North ",ASIA (EX. NEAR EAST)         ,23113019,120540,191.8,2.07,0,24.04,1300,99,42.4,20.76,2.49,76.75,3,15.54,7.13,0.3,0.34,0.36
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,640.3,4.35,0,6.4,23400,96.1,591,24,1,75,2,12.56,6.48,0.018,0.259,0.723
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,239460,93.6,0.23,-0.64,51.43,2200,74.8,14.4,16.26,9.67,74.07,2,30.52,9.72,0.366,0.246,0.387
Romania ,EASTERN EUROPE                     ,22303552,237500,93.9,0.09,-0.13,26.43,7000,98.4,196.9,40.82,2.25,56.93,3,10.7,11.77,0.101,0.35,0.549
Yemen ,NEAR EAST                          ,21456188,527970,40.6,0.36,0,61.5,800,50.2,37.2,2.78,0.24,96.98,1,42.89,8.3,0.135,0.472,0.393
Australia ,OCEANIA                            ,20264082,7686850,2.6,0.34,3.98,4.69,29000,100,565.5,6.55,0.04,93.41,1,12.14,7.51,0.038,0.262,0.7
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,65610,308.2,2.04,-1.31,14.35,3700,92.3,61.5,13.86,15.7,70.44,2,15.51,6.52,0.178,0.276,0.545
Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,801590,24.6,0.31,0,130.79,1200,47.8,3.5,5.1,0.3,94.6,2,35.18,21.35,0.262,0.348,0.39
Syria ,NEAR EAST                          ,18881361,185180,102,0.1,0,29.53,3300,76.9,153.8,25.22,4.43,70.35,1,27.76,4.81,0.249,0.23,0.519
Madagascar ,SUB-SAHARAN AFRICA                 ,18595469,587040,31.7,0.82,0,76.83,800,68.9,3.6,5.07,1.03,93.91,2,41.41,11.11,0.276,0.165,0.559
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843,322460,54.8,0.16,-0.07,90.83,1400,50.9,14.6,9.75,13.84,76.41,2,35.11,14.84,0.279,0.171,0.55
Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,475440,36.5,0.08,0,68.26,1800,79,5.7,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382
Netherlands ,WESTERN EUROPE                     ,16491461,41526,397.1,1.09,2.91,5.04,28600,99,460.8,26.71,0.97,72.32,3,10.9,8.68,0.021,0.244,0.736
Chile ,LATIN AMER. & CARIB    ,16134219,756950,21.3,0.85,0,8.8,9900,96.2,213,2.65,0.42,96.93,3,15.23,5.81,0.06,0.493,0.447
Kazakhstan ,C.W. OF IND. STATES ,15233244,2717300,5.6,0,-3.35,29.21,6300,98.4,164.1,7.98,0.05,91.97,4,16,9.42,0.067,0.386,0.547
Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,274200,50.7,0,0,97.57,1100,26.6,7,14.43,0.19,85.38,2,45.62,15.6,0.322,0.196,0.482
Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,181040,76.7,0.24,0,71.48,1900,69.4,2.6,20.96,0.61,78.43,2,26.9,9.06,0.35,0.3,0.35
Ecuador ,LATIN AMER. & CARIB    ,13547510,283560,47.8,0.79,-8.58,23.66,3300,92.5,125.6,5.85,4.93,89.22,2,22.29,4.23,0.07,0.312,0.618
Malawi ,SUB-SAHARAN AFRICA                 ,13013926,118480,109.8,0,0,103.32,600,62.7,7.9,23.38,1.49,75.13,2,43.13,19.33,0.342,0.158,0.499
Niger ,SUB-SAHARAN AFRICA                 ,12525094,1267000,9.9,0,-0.67,121.69,800,17.6,1.9,3.54,0.01,96.45,1,50.73,20.91,0.39,0.17,0.44
Guatemala ,LATIN AMER. & CARIB    ,12293545,108890,112.9,0.37,-1.67,35.93,4100,70.6,92.1,12.54,5.03,82.43,2,29.88,5.2,0.227,0.188,0.585
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,390580,31.3,0,0,67.69,1900,90.7,26.8,8.32,0.34,91.34,2,28.01,21.84,0.179,0.243,0.579
Angola ,SUB-SAHARAN AFRICA                 ,12127071,1246700,9.7,0.13,0,191.19,1900,42,7.8,2.41,0.24,97.35,,45.11,24.2,0.096,0.658,0.246
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,196190,61.1,0.27,0.2,55.51,1600,40.2,22.2,12.78,0.21,87.01,2,32.78,9.42,0.172,0.209,0.619
Mali ,SUB-SAHARAN AFRICA                 ,11716829,1240000,9.5,0,-0.33,116.79,900,46.4,6.4,3.82,0.03,96.15,2,49.82,16.89,0.45,0.17,0.38
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,752614,15.3,0,0,88.29,800,80.6,8.2,7.08,0.03,92.9,2,41,19.93,0.22,0.29,0.489
Cuba ,LATIN AMER. & CARIB    ,11382820,110860,102.7,3.37,-1.58,6.33,2900,97,74.7,33.05,7.6,59.35,2,11.89,7.22,0.055,0.261,0.684
Greece ,WESTERN EUROPE                     ,10688058,131940,81,10.37,2.35,5.53,20000,97.5,589.7,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733
Portugal ,WESTERN EUROPE                     ,10605870,92391,114.8,1.94,3.57,5.05,18000,93.3,399.2,21.75,7.81,70.44,3,10.72,10.5,0.053,0.274,0.673
Belgium ,WESTERN EUROPE                     ,10379067,30528,340,0.22,1.23,4.68,29100,98,462.6,23.28,0.4,76.32,3,10.38,10.27,0.01,0.24,0.749
Belarus ,C.W. OF IND. STATES ,10293011,207600,49.6,0,2.54,13.37,6100,99.6,319.1,29.55,0.6,69.85,4,11.16,14.02,0.093,0.316,0.591
Czech Republic ,EASTERN EUROPE                     ,10235455,78866,129.8,0,0.97,3.93,15700,99.9,314.3,39.8,3.05,57.15,3,9.02,10.59,0.034,0.393,0.573
Tunisia ,NORTHERN AFRICA                    ,10175014,163610,62.2,0.7,-0.57,24.77,6900,74.2,123.6,17.86,13.74,68.4,3,15.52,5.13,0.132,0.318,0.55
